22.86667 +34.50000 And
23.33333 -37.00000 Gru  Scl
23.33333 -40.00000 Gru  Scl
23.33333 -57.00000 Gru  Phe
22.00000 -57.00000 Gru  Tuc
22.00000 -50.00000 Gru  Ind
21.33333 -50.00000 Gru  Ind
21.33333 -45.50000 Gru  Ind
21.33333 -37.00000 Gru  Mic
16.26667 +04.00000 Her
16.08333 +04.00000 Her  Ser1
16.08333 +16.00000 Her  Ser1
15.91667 +16.00000 Her  Ser1
15.91667 +22.00000 Her  Ser1
16.03333 +22.00000 Her  Ser1
16.03333 +26.00000 Her  Ser1
16.16667 +26.00000 Her  CrB
16.16667 +27.00000 Her  CrB
16.33333 +27.00000 Her  CrB
16.33333 +40.00000 Her  CrB
15.75000 +40.00000 Her  CrB
15.75000 +51.50000 Her  Boo
17.00000 +51.50000 Her  Dra
17.00000 +50.50000 Her  Dra
18.23333 +50.50000 Her  Dra
18.23333 +47.50000 Her  Dra
18.17500 +47.50000 Her  Lyr
18.17500 +30.00000 Her  Lyr
18.36667 +30.00000 Her  Lyr
18.36667 +26.00000 Her  Lyr
18.86667 +26.00000 Her  Lyr
18.86667 +25.50000 Her  Lyr
18.86667 +21.08333 Her  Vul
18.86667 +18.50000 Her  Sge
18.86667 +12.00000 Her  Aql
18.66222 +12.00000 Her  Aql
18.25000 +12.00000 Her  Oph
18.25000 +14.33333 Her  Oph
17.25000 +14.33333 Her  Oph
17.25000 +12.83333 Her  Oph
16.75000 +12.83333 Her  Oph
16.75000 +04.00000 Her  Oph
16.26667 +04.00000 Her  Oph
 4.26667 -40.00000 Hor
 4.26667 -49.00000 Hor  Cae
 4.08333 -49.00000 Hor  Dor
 4.08333 -51.00000 Hor  Dor
 3.83333 -51.00000 Hor  Dor
 3.83333 -53.16667 Hor  Dor
 3.50000 -53.16667 Hor  Ret
 3.50000 -57.50000 Hor  Ret
 3.20000 -57.50000 Hor  Ret
 3.20000 -67.50000 Hor  Ret
 2.16667 -67.50000 Hor  Hyi
 2.16667 -58.50000 Hor  Hyi
 2.16667 -54.00000 Hor  Eri
 2.41667 -54.00000 Hor  Eri
 2.41667 -51.00000 Hor  Eri
 2.66667 -51.00000 Hor  Eri
 2.66667 -49.00000 Hor  Eri
 3.00000 -49.00000 Hor  Eri
 3.00000 -46.00000 Hor  Eri
 3.41667 -46.00000 Hor  Eri
 3.41667 -44.00000 Hor  Eri
 3.86667 -44.00000 Hor  Eri
 3.86667 -40.00000 Hor  Eri
 4.26667 -40.00000 Hor  Eri
 8.08333 -00.00000 Hya
 8.08333 +07.00000 Hya  CMi
 9.25000 +07.00000 Hya  Cnc
 9.58333 +07.00000 Hya  Leo
 9.58333 -00.00000 Hya  Sex
 9.58333 -11.00000 Hya  Sex
10.75000 -11.00000 Hya  Sex
10.75000 -19.00000 Hya  Crt
10.83333 -19.00000 Hya  Crt
10.83333 -24.50000 Hya  Crt
11.83333 -24.50000 Hya  Crt
12.58333 -24.50000 Hya  Crv
12.58333 -22.00000 Hya  Crv
12.83333 -22.00000 Hya  Crv
14.25000 -22.00000 Hya  Vir
14.25000 -24.50000 Hya  Lib
14.91667 -24.50000 Hya  Lib
14.91667 -29.50000 Hya  Lib
12.58333 -29.50000 Hya  Cen
12.58333 -33.00000 Hya  Cen
12.25000 -33.00000 Hya  Cen
12.25000 -35.00000 Hya  Cen
11.00000 -35.00000 Hya  Cen
10.83333 -35.00000 Hya  Ant
10.83333 -31.16667 Hya  Ant
10.58333 -31.16667 Hya  Ant
10.58333 -29.16667 Hya  Ant
10.25000 -29.16667 Hya  Ant
10.25000 -26.50000 Hya  Ant
 9.75000 -26.50000 Hya  Ant
 9.75000 -24.00000 Hya  Ant
 9.36667 -24.00000 Hya  Ant
 9.08333 -24.00000 Hya  Pyx
 9.08333 -19.00000 Hya  Pyx
 8.58333 -19.00000 Hya  Pyx
 8.58333 -17.00000 Hya  Pyx
 8.36667 -17.00000 Hya  Pyx
 8.36667 -11.00000 Hya  Pup
 8.08333 -11.00000 Hya  Pup
 8.08333 -00.00000 Hya  Mon
 4.58333 -67.50000 Hyi
 4.58333 -70.00000 Hyi  Dor
 4.58333 -75.00000 Hyi  Men
 3.50000 -75.00000 Hyi  Men
 3.50000 -82.50000 Hyi  Men
 0.00000 -82.50000 Hyi  Oct
 0.00000 -75.00000 Hyi  Oct
 0.75000 -75.00000 Hyi  Tuc
 0.75000 -76.00000 Hyi  Tuc
 1.33333 -76.00000 Hyi  Tuc
 1.33333 -58.50000 Hyi  Tuc
 2.16667 -58.50000 Hyi  Eri
 2.16667 -67.50000 Hyi  Hor
 3.20000 -67.50000 Hyi  Hor
 4.58333 -67.50000 Hyi  Ret
21.33333 -75.00000 Ind
21.33333 -60.00000 Ind  Pav
20.33333 -60.00000 Ind  Pav
20.33333 -57.00000 Ind  Pav
20.33333 -45.50000 Ind  Tel
21.33333 -45.50000 Ind  Mic
21.33333 -50.00000 Ind  Gru
22.00000 -50.00000 Ind  Gru
22.00000 -57.00000 Ind  Gru
22.00000 -67.50000 Ind  Tuc
23.33333 -67.50000 Ind  Tuc
23.33333 -75.00000 Ind  Tuc
21.33333 -75.00000 Ind  Oct
21.87500 +36.00000 Lac
21.87500 +43.75000 Lac  Cyg
21.90833 +43.75000 Lac  Cyg
21.90833 +44.00000 Lac  Cyg
21.96667 +44.00000 Lac  Cyg
21.96667 +52.75000 Lac  Cyg
22.13333 +52.75000 Lac  Cep
22.13333 +55.00000 Lac  Cep
22.31667 +55.00000 Lac  Cep
22.31667 +56.25000 Lac  Cep
22.86667 +56.25000 Lac  Cep
22.86667 +52.50000 Lac  Cas
22.86667 +34.50000 Lac  And
22.81667 +34.50000 Lac  Peg
22.81667 +35.00000 Lac  Peg
22.00000 +35.00000 Lac  Peg
22.00000 +36.00000 Lac  Peg
21.87500 +36.00000 Lac  Peg
10.75000 -00.00000 Leo
10.75000 +07.00000 Leo  Sex
 9.58333 +07.00000 Leo  Sex
 9.25000 +07.00000 Leo  Hya
 9.25000 +33.50000 Leo  Cnc
 9.88333 +33.50000 Leo  LMi
 9.88333 +28.50000 Leo  LMi
10.50000 +28.50000 Leo  LMi
10.50000 +23.50000 Leo  LMi
10.75000 +23.50000 Leo  LMi
10.75000 +25.50000 Leo  LMi
11.00000 +25.50000 Leo  LMi
11.00000 +29.00000 Leo  LMi
11.86667 +29.00000 Leo  UMa
11.86667 +14.00000 Leo  Com
11.86667 +11.00000 Leo  Vir
11.51667 +11.00000 Leo  Vir
11.51667 -00.00000 Leo  Vir
11.51667 -06.00000 Leo  Vir
10.75000 -06.00000 Leo  Crt
10.75000 -00.00000 Leo  Sex
 9.25000 +33.50000 LMi
 9.25000 +39.75000 LMi  Lyn
 9.58333 +39.75000 LMi  Lyn
 9.58333 +42.00000 LMi  Lyn
10.16667 +42.00000 LMi  UMa
10.16667 +40.00000 LMi  UMa
10.78333 +40.00000 LMi  UMa
10.78333 +34.00000 LMi  UMa
11.00000 +34.00000 LMi  UMa
11.00000 +29.00000 LMi  UMa
11.00000 +25.50000 LMi  Leo
10.75000 +25.50000 LMi  Leo
10.75000 +23.50000 LMi  Leo
10.50000 +23.50000 LMi  Leo
10.50000 +28.50000 LMi  Leo
 9.88333 +28.50000 LMi  Leo
 9.88333 +33.50000 LMi  Leo
 9.25000 +33.50000 LMi  Leo
 4.83333 -27.25000 Lep
 4.83333 -14.50000 Lep  Eri
 4.91667 -14.50000 Lep  Eri
 4.91667 -11.00000 Lep  Eri
 5.08333 -11.00000 Lep  Eri
 5.83333 -11.00000 Lep  Ori
 6.11667 -11.00000 Lep  Mon
 6.11667 -27.25000 Lep  CMa
 5.00000 -27.25000 Lep  Col
 4.83333 -27.25000 Lep  Cae
15.08333 -00.00000 Lib
15.08333 -03.25000 Lib  Ser1
15.91667 -03.25000 Lib  Ser1
15.91667 -08.00000 Lib  Oph
15.91667 -20.00000 Lib  Sco
15.66667 -20.00000 Lib  Sco
15.66667 -29.50000 Lib  Sco
14.91667 -29.50000 Lib  Lup
14.91667 -24.50000 Lib  Hya
14.25000 -24.50000 Lib  Hya
14.25000 -22.00000 Lib  Hya
14.25000 -08.00000 Lib  Vir
14.66667 -08.00000 Lib  Vir
14.66667 -00.00000 Lib  Vir
15.08333 -00.00000 Lib  Vir
14.16667 -55.00000 Lup
14.16667 -42.00000 Lup  Cen
14.91667 -42.00000 Lup  Cen
14.91667 -29.50000 Lup  Cen
15.66667 -29.50000 Lup  Lib
16.00000 -29.50000 Lup  Sco
16.00000 -42.00000 Lup  Sco
15.66667 -42.00000 Lup  Nor
15.66667 -48.00000 Lup  Nor
15.33333 -48.00000 Lup  Nor
15.33333 -54.00000 Lup  Nor
15.05000 -54.00000 Lup  Nor
15.05000 -55.00000 Lup  Nor
14.53333 -55.00000 Lup  Cir
14.16667 -55.00000 Lup  Cen
 7.36667 +35.50000 Lyn
 7.36667 +44.50000 Lyn  Aur
 6.80000 +44.50000 Lyn  Aur
 6.80000 +50.00000 Lyn  Aur
 6.50000 +50.00000 Lyn  Aur
 6.50000 +54.00000 Lyn  Aur
 6.10000 +54.00000 Lyn  Aur
 6.10000 +56.00000 Lyn  Aur
 6.10000 +62.00000 Lyn  Cam
 7.00000 +62.00000 Lyn  Cam
 7.00000 +60.00000 Lyn  Cam
 7.96667 +60.00000 Lyn  Cam
 8.41667 +60.00000 Lyn  UMa
 8.41667 +47.00000 Lyn  UMa
 9.16667 +47.00000 Lyn  UMa
 9.16667 +42.00000 Lyn  UMa
 9.58333 +42.00000 Lyn  UMa
 9.58333 +39.75000 Lyn  LMi
 9.25000 +39.75000 Lyn  LMi
 9.25000 +33.50000 Lyn  LMi
 8.00000 +33.50000 Lyn  Cnc
 7.75000 +33.50000 Lyn  Gem
 7.75000 +35.50000 Lyn  Gem
 7.36667 +35.50000 Lyn  Gem
18.86667 +25.50000 Lyr
18.86667 +26.00000 Lyr  Her
18.36667 +26.00000 Lyr  Her
18.36667 +30.00000 Lyr  Her
18.17500 +30.00000 Lyr  Her
18.17500 +47.50000 Lyr  Her
18.23333 +47.50000 Lyr  Her
19.08333 +47.50000 Lyr  Dra
19.16667 +47.50000 Lyr  Cyg
19.16667 +43.50000 Lyr  Cyg
19.40000 +43.50000 Lyr  Cyg
19.40000 +36.50000 Lyr  Cyg
19.35833 +36.50000 Lyr  Cyg
19.35833 +30.00000 Lyr  Cyg
19.25833 +30.00000 Lyr  Cyg
19.25833 +27.50000 Lyr  Cyg
19.25833 +25.50000 Lyr  Vul
18.86667 +25.50000 Lyr  Vul
 7.66667 -85.00000 Men
 3.50000 -85.00000 Men  Oct
 3.50000 -82.50000 Men  Oct
 3.50000 -75.00000 Men  Hyi
 4.58333 -75.00000 Men  Hyi
 4.58333 -70.00000 Men  Hyi
 6.58333 -70.00000 Men  Dor
 6.58333 -75.00000 Men  Vol
 7.66667 -75.00000 Men  Vol
 7.66667 -82.50000 Men  Cha
 7.66667 -85.00000 Men  Oct
20.33333 -28.00000 Mic
21.33333 -28.00000 Mic  Cap
21.33333 -37.00000 Mic  PsA
21.33333 -45.50000 Mic  Gru
20.33333 -45.50000 Mic  Ind
20.33333 -28.00000 Mic  Sgr
 6.24167 -00.00000 Mon
 6.24167 +10.00000 Mon  Ori
 6.30833 +10.00000 Mon  Ori
 6.30833 +12.00000 Mon  Ori
 6.93333 +12.00000 Mon  Gem
 6.93333 +10.00000 Mon  Gem
 7.00000 +10.00000 Mon  Gem
 7.00000 +05.50000 Mon  CMi
 7.01667 +05.50000 Mon  CMi
 7.01667 +01.50000 Mon  CMi
 7.20000 +01.50000 Mon  CMi
 7.20000 -00.00000 Mon  CMi
 8.08333 -00.00000 Mon  CMi
 8.08333 -11.00000 Mon  Hya
 7.36667 -11.00000 Mon  Pup
 6.11667 -11.00000 Mon  CMa
 5.83333 -11.00000 Mon  Lep
 5.83333 -04.00000 Mon  Ori
 6.24167 -04.00000 Mon  Ori
 6.24167 -00.00000 Mon  Ori
11.25000 -64.00000 Mus
11.83333 -64.00000 Mus  Cen
12.83333 -64.00000 Mus  Cru
13.50000 -64.00000 Mus  Cen
13.50000 -65.00000 Mus  Cir
13.66667 -65.00000 Mus  Cir
13.66667 -70.00000 Mus  Cir
13.66667 -75.00000 Mus  Aps
11.25000 -75.00000 Mus  Cha
11.25000 -64.00000 Mus  Car
15.33333 -60.00000 Nor
15.33333 -55.00000 Nor  Cir
15.05000 -55.00000 Nor  Cir
15.05000 -54.00000 Nor  Lup
15.33333 -54.00000 Nor  Lup
15.33333 -48.00000 Nor  Lup
15.66667 -48.00000 Nor  Lup
15.66667 -42.00000 Nor  Lup
16.00000 -42.00000 Nor  Lup
16.42083 -42.00000 Nor  Sco
16.42083 -45.50000 Nor  Sco
16.42083 -60.00000 Nor  Ara
15.33333 -60.00000 Nor  TrA
 0.00000 -82.50000 Oct
 3.50000 -82.50000 Oct  Hyi
 3.50000 -85.00000 Oct  Men
 7.66667 -85.00000 Oct  Men
 7.66667 -82.50000 Oct  Men
13.66667 -82.50000 Oct  Cha
18.00000 -82.50000 Oct  Aps
18.00000 -75.00000 Oct  Aps
21.33333 -75.00000 Oct  Pav
23.33333 -75.00000 Oct  Ind
 0.00000 -75.00000 Oct  Tuc
 0.00000 -82.50000 Oct  Hyi
16.26667 -00.00000 Oph
16.26667 +04.00000 Oph  Ser1
16.75000 +04.00000 Oph  Her
16.75000 +12.83333 Oph  Her
17.25000 +12.83333 Oph  Her
17.25000 +14.33333 Oph  Her
18.25000 +14.33333 Oph  Her
18.25000 +12.00000 Oph  Her
18.66222 +12.00000 Oph  Her
18.66222 +06.25000 Oph  Aql
18.25000 +06.25000 Oph  Ser2
18.25000 +04.50000 Oph  Ser2
18.42500 +04.50000 Oph  Ser2
18.42500 +03.00000 Oph  Ser2
18.25000 +03.00000 Oph  Ser2
18.25000 -00.00000 Oph  Ser2
17.83333 -00.00000 Oph  Ser2
17.83333 -04.00000 Oph  Ser2
17.96667 -04.00000 Oph  Ser2
17.96667 -10.00000 Oph  Ser2
17.66667 -10.00000 Oph  Ser2
17.66667 -11.66667 Oph  Ser2
17.58333 -11.66667 Oph  Ser2
17.58333 -10.00000 Oph  Ser2
17.16667 -10.00000 Oph  Ser2
17.16667 -16.00000 Oph  Ser2
17.60000 -16.00000 Oph  Ser2
17.60000 -30.00000 Oph  Sgr
16.75000 -30.00000 Oph  Sco
16.75000 -24.58333 Oph  Sco
16.26667 -24.58333 Oph  Sco
16.26667 -19.25000 Oph  Sco
16.37500 -19.25000 Oph  Sco
16.37500 -18.25000 Oph  Sco
16.26667 -18.25000 Oph  Sco
16.26667 -08.00000 Oph  Sco
15.91667 -08.00000 Oph  Sco
15.91667 -03.25000 Oph  Lib
16.26667 -03.25000 Oph  Ser1
16.26667 -00.00000 Oph  Ser1
 4.61667 -00.00000 Ori
 4.61667 +15.50000 Ori  Tau
 4.96667 +15.50000 Ori  Tau
 4.96667 +16.00000 Ori  Tau
 5.33333 +16.00000 Ori  Tau
 5.33333 +15.50000 Ori  Tau
 5.60000 +15.50000 Ori  Tau
 5.60000 +12.50000 Ori  Tau
 5.76667 +12.50000 Ori  Tau
 5.76667 +18.00000 Ori  Tau
 5.70000 +18.00000 Ori  Tau
 5.70000 +22.83333 Ori  Tau
 5.88333 +22.83333 Ori  Tau
 5.88333 +21.50000 Ori  Gem
 6.21667 +21.50000 Ori  Gem
 6.21667 +17.50000 Ori  Gem
 6.30833 +17.50000 Ori  Gem
 6.30833 +12.00000 Ori  Gem
 6.30833 +10.00000 Ori  Mon
 6.24167 +10.00000 Ori  Mon
 6.24167 -00.00000 Ori  Mon
 6.24167 -04.00000 Ori  Mon
 5.83333 -04.00000 Ori  Mon
 5.83333 -11.00000 Ori  Mon
 5.08333 -11.00000 Ori  Lep
 5.08333 -04.00000 Ori  Eri
 4.66667 -04.00000 Ori  Eri
 4.66667 -00.00000 Ori  Eri
 4.61667 -00.00000 Ori  Eri
18.00000 -75.00000 Pav
18.00000 -67.50000 Pav  Aps
17.50000 -67.50000 Pav  Aps
17.50000 -57.00000 Pav  Ara
18.00000 -57.00000 Pav  Ara
20.33333 -57.00000 Pav  Tel
20.33333 -60.00000 Pav  Ind
21.33333 -60.00000 Pav  Ind
21.33333 -75.00000 Pav  Ind
18.00000 -75.00000 Pav  Oct
21.33333 +02.00000 Peg
21.33333 +12.50000 Peg  Equ
21.11667 +12.50000 Peg  Equ
21.11667 +11.83333 Peg  Equ
21.05000 +11.83333 Peg  Equ
21.05000 +19.50000 Peg  Del
21.25000 +19.50000 Peg  Vul
21.25000 +23.50000 Peg  Vul
21.41667 +23.50000 Peg  Vul
21.41667 +28.00000 Peg  Vul
21.73333 +28.00000 Peg  Cyg
21.73333 +36.00000 Peg  Cyg
21.87500 +36.00000 Peg  Cyg
22.00000 +36.00000 Peg  Lac
22.00000 +35.00000 Peg  Lac
22.81667 +35.00000 Peg  Lac
22.81667 +34.50000 Peg  Lac
22.86667 +34.50000 Peg  Lac
23.50000 +34.50000 Peg  And
23.50000 +32.08333 Peg  And
23.75000 +32.08333 Peg  And
23.75000 +31.33333 Peg  And
 0.00000 +31.33333 Peg  And
 0.00000 +28.00000 Peg  And
 0.06667 +28.00000 Peg  And
 0.06667 +22.00000 Peg  And
 0.14167 +22.00000 Peg  And
 0.14167 +21.00000 Peg  And
 0.14167 +12.50000 Peg  Psc
 0.00000 +12.50000 Peg  Psc
 0.00000 +10.00000 Peg  Psc
23.83333 +10.00000 Peg  Psc
23.83333 +07.50000 Peg  Psc
22.75000 +07.50000 Peg  Psc
22.75000 +02.00000 Peg  Psc
22.00000 +02.00000 Peg  Aqr
22.00000 +01.75000 Peg  Aqr
21.66667 +01.75000 Peg  Aqr
21.66667 +02.75000 Peg  Aqr
21.46667 +02.75000 Peg  Aqr
21.46667 +02.00000 Peg  Aqr
21.33333 +02.00000 Peg  Aqr
 2.71667 +30.66667 Per
 2.71667 +34.00000 Per  Tri
 2.56667 +34.00000 Per  Tri
 2.56667 +36.75000 Per  Tri
 2.51667 +36.75000 Per  Tri
 2.51667 +50.50000 Per  And
 2.04167 +50.50000 Per  And
 2.04167 +47.00000 Per  And
 1.66667 +47.00000 Per  And
 1.66667 +50.00000 Per  And
 1.36667 +50.00000 Per  And
 1.36667 +54.00000 Per  Cas
 1.70000 +54.00000 Per  Cas
 1.70000 +57.50000 Per  Cas
 1.90833 +57.50000 Per  Cas
 1.90833 +58.50000 Per  Cas
 2.43333 +58.50000 Per  Cas
 2.43333 +57.00000 Per  Cas
 3.10000 +57.00000 Per  Cas
 3.16667 +57.00000 Per  Cam
 3.16667 +55.00000 Per  Cam
 3.33333 +55.00000 Per  Cam
 3.33333 +52.50000 Per  Cam
 4.69167 +52.50000 Per  Cam
 4.69167 +36.00000 Per  Aur
 4.50000 +36.00000 Per  Aur
 4.50000 +30.66667 Per  Aur
 3.36667 +30.66667 Per  Tau
 2.71667 +30.66667 Per  Ari
23.33333 -40.00000 Phe
 1.66667 -40.00000 Phe  Scl
 2.33333 -40.00000 Phe  For
 2.33333 -48.16667 Phe  Eri
 1.83333 -48.16667 Phe  Eri
 1.83333 -51.50000 Phe  Eri
 1.58333 -51.50000 Phe  Eri
 1.58333 -53.50000 Phe  Eri
 1.33333 -53.50000 Phe  Eri
 1.33333 -58.50000 Phe  Eri
23.33333 -58.50000 Phe  Tuc
23.33333 -57.00000 Phe  Tuc
23.33333 -40.00000 Phe  Gru
 6.00000 -43.00000 Pic
 6.00000 -50.75000 Pic  Pup
 6.00000 -52.50000 Pic  Car
 6.16667 -52.50000 Pic  Car
 6.16667 -55.00000 Pic  Car
 6.50000 -55.00000 Pic  Car
 6.50000 -58.00000 Pic  Car
 6.83333 -58.00000 Pic  Car
 6.83333 -64.00000 Pic  Car
 6.58333 -64.00000 Pic  Vol
 6.00000 -64.00000 Pic  Dor
 6.00000 -61.00000 Pic  Dor
 5.50000 -61.00000 Pic  Dor
 5.50000 -57.50000 Pic  Dor
 5.00000 -57.50000 Pic  Dor
 5.00000 -54.00000 Pic  Dor
 4.50000 -54.00000 Pic  Dor
 4.50000 -49.00000 Pic  Dor
 4.50000 -46.50000 Pic  Cae
 4.83333 -46.50000 Pic  Cae
 4.83333 -43.00000 Pic  Cae
 5.00000 -43.00000 Pic  Cae
 6.00000 -43.00000 Pic  Col
22.75000 -00.00000 Psc
22.75000 +02.00000 Psc  Aqr
22.75000 +07.50000 Psc  Peg
23.83333 +07.50000 Psc  Peg
23.83333 +10.00000 Psc  Peg
 0.00000 +10.00000 Psc  Peg
 0.00000 +12.50000 Psc  Peg
 0.14167 +12.50000 Psc  Peg
 0.14167 +21.00000 Psc  Peg
 0.85000 +21.00000 Psc  And
 0.85000 +23.75000 Psc  And
 0.71667 +23.75000 Psc  And
 0.71667 +33.00000 Psc  And
 1.40833 +33.00000 Psc  And
 1.40833 +28.00000 Psc  Tri
 1.66667 +28.00000 Psc  Tri
 1.66667 +25.00000 Psc  Tri
 1.66667 +09.91667 Psc  Ari
 2.00000 +09.91667 Psc  Ari
 2.00000 +02.00000 Psc  Cet
 0.33333 +02.00000 Psc  Cet
 0.33333 -00.00000 Psc  Cet
 0.33333 -07.00000 Psc  Cet
23.83333 -07.00000 Psc  Cet
23.83333 -04.00000 Psc  Aqr
22.75000 -04.00000 Psc  Aqr
22.75000 -00.00000 Psc  Aqr
23.00000 -25.50000 PsA
23.00000 -37.00000 PsA  Scl
21.33333 -37.00000 PsA  Gru
21.33333 -28.00000 PsA  Mic
21.33333 -25.50000 PsA  Cap
21.86667 -25.50000 PsA  Cap
23.00000 -25.50000 PsA  Aqr
 7.36667 -11.00000 Pup
 8.08333 -11.00000 Pup  Mon
 8.36667 -11.00000 Pup  Hya
 8.36667 -17.00000 Pup  Hya
 8.36667 -36.75000 Pup  Pyx
 8.36667 -43.00000 Pup  Vel
 8.00000 -43.00000 Pup  Vel
 8.00000 -50.75000 Pup  Vel
 6.00000 -50.75000 Pup  Car
 6.00000 -43.00000 Pup  Pic
 6.58333 -43.00000 Pup  Col
 6.58333 -33.00000 Pup  Col
 7.36667 -33.00000 Pup  CMa
 7.36667 -11.00000 Pup  CMa
 8.36667 -17.00000 Pyx
 8.58333 -17.00000 Pyx  Hya
 8.58333 -19.00000 Pyx  Hya
 9.08333 -19.00000 Pyx  Hya
 9.08333 -24.00000 Pyx  Hya
 9.36667 -24.00000 Pyx  Hya
 9.36667 -36.75000 Pyx  Ant
 8.36667 -36.75000 Pyx  Vel
 8.36667 -17.00000 Pyx  Pup
 3.20000 -67.50000 Ret
 3.20000 -57.50000 Ret  Hor
 3.50000 -57.50000 Ret  Hor
 3.50000 -53.16667 Ret  Hor
 3.83333 -53.16667 Ret  Hor
 4.00000 -53.16667 Ret  Dor
 4.00000 -56.50000 Ret  Dor
 4.33333 -56.50000 Ret  Dor
 4.33333 -59.00000 Ret  Dor
 4.58333 -59.00000 Ret  Dor
 4.58333 -67.50000 Ret  Dor
 3.20000 -67.50000 Ret  Hyi
18.86667 +18.50000 Sge
18.86667 +21.08333 Sge  Her
19.25000 +21.08333 Sge  Vul
19.25000 +19.16667 Sge  Vul
19.83333 +19.16667 Sge  Vul
19.83333 +21.25000 Sge  Vul
20.25000 +21.25000 Sge  Vul
20.25000 +20.50000 Sge  Vul
20.25000 +15.75000 Sge  Del
20.14167 +15.75000 Sge  Del
19.83333 +15.75000 Sge  Aql
19.83333 +16.16667 Sge  Aql
19.00000 +16.16667 Sge  Aql
19.00000 +18.50000 Sge  Aql
18.86667 +18.50000 Sge  Aql
18.86667 -12.03333 Sgr
20.00000 -12.03333 Sgr  Aql
20.00000 -28.00000 Sgr  Cap
20.33333 -28.00000 Sgr  Cap
20.33333 -45.50000 Sgr  Mic
19.16667 -45.50000 Sgr  Tel
19.16667 -37.00000 Sgr  Cra
17.83333 -37.00000 Sgr  Cra
17.83333 -30.00000 Sgr  Sco
17.60000 -30.00000 Sgr  Sco
17.60000 -16.00000 Sgr  Oph
18.25000 -16.00000 Sgr  Ser2
18.86667 -16.00000 Sgr  Sct
18.86667 -12.03333 Sgr  Sct
15.91667 -08.00000 Sco
16.26667 -08.00000 Sco  Oph
16.26667 -18.25000 Sco  Oph
16.37500 -18.25000 Sco  Oph
16.37500 -19.25000 Sco  Oph
16.26667 -19.25000 Sco  Oph
16.26667 -24.58333 Sco  Oph
16.75000 -24.58333 Sco  Oph
16.75000 -30.00000 Sco  Oph
17.60000 -30.00000 Sco  Oph
17.83333 -30.00000 Sco  Sgr
17.83333 -37.00000 Sco  Sgr
17.83333 -45.50000 Sco  Cra
16.42083 -45.50000 Sco  Ara
16.42083 -42.00000 Sco  Nor
16.00000 -42.00000 Sco  Nor
16.00000 -29.50000 Sco  Lup
15.66667 -29.50000 Sco  Lup
15.66667 -20.00000 Sco  Lib
15.91667 -20.00000 Sco  Lib
15.91667 -08.00000 Sco  Lib
23.00000 -25.50000 Scl
23.83333 -25.50000 Scl  Aqr
 1.66667 -25.50000 Scl  Cet
 1.66667 -40.00000 Scl  For
23.33333 -40.00000 Scl  Phe
23.33333 -37.00000 Scl  Gru
23.00000 -37.00000 Scl  Gru
23.00000 -25.50000 Scl  PsA
18.25000 -16.00000 Sct
18.25000 -04.00000 Sct  Ser2
18.58333 -04.00000 Sct  Ser2
18.86667 -04.00000 Sct  Aql
18.86667 -12.03333 Sct  Aql
18.86667 -16.00000 Sct  Sgr
18.25000 -16.00000 Sct  Sgr
15.08333 -00.00000 Ser1
15.08333 +08.00000 Ser1 Vir
15.08333 +26.00000 Ser1 Boo
15.18333 +26.00000 Ser1 Boo
16.03333 +26.00000 Ser1 CrB
16.03333 +22.00000 Ser1 Her
15.91667 +22.00000 Ser1 Her
15.91667 +16.00000 Ser1 Her
16.08333 +16.00000 Ser1 Her
16.08333 +04.00000 Ser1 Her
16.26667 +04.00000 Ser1 Her
16.26667 -00.00000 Ser1 Oph
16.26667 -03.25000 Ser1 Oph
15.91667 -03.25000 Ser1 Oph
15.08333 -03.25000 Ser1 Lib
15.08333 -00.00000 Ser1 Lib
18.25000 -00.00000 Ser2
18.25000 +03.00000 Ser2 Oph
18.42500 +03.00000 Ser2 Oph
18.42500 +04.50000 Ser2 Oph
18.25000 +04.50000 Ser2 Oph
18.25000 +06.25000 Ser2 Oph
18.66222 +06.25000 Ser2 Oph
18.86667 +06.25000 Ser2 Aql
18.86667 +02.00000 Ser2 Aql
18.58333 +02.00000 Ser2 Aql
18.58333 -00.00000 Ser2 Aql
18.58333 -04.00000 Ser2 Aql
18.25000 -04.00000 Ser2 Sct
18.25000 -16.00000 Ser2 Sct
17.60000 -16.00000 Ser2 Sgr
17.16667 -16.00000 Ser2 Oph
17.16667 -10.00000 Ser2 Oph
17.58333 -10.00000 Ser2 Oph
17.58333 -11.66667 Ser2 Oph
17.66667 -11.66667 Ser2 Oph
17.66667 -10.00000 Ser2 Oph
17.96667 -10.00000 Ser2 Oph
17.96667 -04.00000 Ser2 Oph
17.83333 -04.00000 Ser2 Oph
17.83333 -00.00000 Ser2 Oph
18.25000 -00.00000 Ser2 Oph
 9.58333 -00.00000 Sex
 9.58333 +07.00000 Sex  Hya
10.75000 +07.00000 Sex  Leo
10.75000 -00.00000 Sex  Leo
10.75000 -06.00000 Sex  Leo
10.75000 -11.00000 Sex  Crt
 9.58333 -11.00000 Sex  Hya
 9.58333 -00.00000 Sex  Hya
 3.28333 -01.75000 Tau
 3.28333 -00.00000 Tau  Cet
 3.28333 +09.91667 Tau  Cet
 3.28333 +19.00000 Tau  Ari
 3.36667 +19.00000 Tau  Ari
 3.36667 +30.66667 Tau  Ari
 4.50000 +30.66667 Tau  Per
 4.50000 +30.00000 Tau  Aur
 4.75000 +30.00000 Tau  Aur
 4.75000 +28.50000 Tau  Aur
